Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
3 member(s) 2 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peribacillus frigoritolerans],298,298,99%,4.00E-97,34.67,304,WP_283867482.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peribacillus loiseleuriae],296,296,99%,5.00E-96,37,304,WP_049680884.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Priestia megaterium],295,295,100%,7.00E-96,37.25,307,MGG0387825.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Peribacillus muralis],293,293,99%,6.00E-95,37.33,304,WP_427661740.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Niallia taxi],292,292,99%,1.00E-94,36.33,304,WP_182101841.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus sp. BHET2],289,289,100%,2.00E-93,36.51,305,WP_138777794.1,N/A,N/A ,,,Bacillota,Bacillales
3 member(s) 2 organism(s),Bacillus rRNA group 1,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus sp. V33-4],289,289,99%,3.00E-93,38.74,307,WP_101665594.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Geobacillus stearothermophilus],283,283,99%,2.00E-91,33.99,302,WP_429883001.1,N/A,N/A ,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Bacillus sp. (in: firmicutes)],282,282,100%,7.00E-91,35.53,304,MBQ6448593.1,Yes,No,,,Bacillota,Bacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus safensis],282,282,100%,1.00E-90,36.84,304,WP_283859619.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Priestia flexa],281,281,100%,2.00E-90,33.22,304,WP_239429037.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 3 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus cereus group],280,280,96%,5.00E-90,36.21,304,WP_098886959.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 3 organism(s),Bacillus rRNA group 1,Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus swezeyi],275,275,96%,5.00E-88,38.62,304,WP_327833488.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),viruses,MAG TPA: protein of unknown function (DUF4868) [Caudoviricetes sp.],274,274,99%,2.00E-87,41.81,301,DAS74339.1,Yes,N/A ,,DUF722 beside,Uroviricota,Caudovirales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Paenibacillus dokdonensis],272,272,100%,9.00E-87,34.75,306,WP_326090554.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lysinibacillus sphaericus],271,271,99%,1.00E-86,35.53,306,WP_024364767.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Paenibacillus sp.],271,271,100%,2.00E-86,36.18,304,WP_421885896.1,N/A,N/A ,,,Bacillota,Bacillales
2 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Gracilibacillus sp. JCM 18860],271,271,100%,3.00E-86,37.13,308,WP_054859148.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 2 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus cereus group],270,270,96%,4.00E-86,35.86,307,WP_088034531.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Priestia megaterium],269,269,100%,8.00E-86,36.48,307,TYR81104.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Paenibacillus popilliae],269,269,100%,1.00E-85,36.72,305,WP_006286639.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Eubacteriaceae bacterium],269,269,100%,1.00E-85,38.24,307,MFZ7119502.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Metaclostridioides mangenotii],268,268,100%,2.00E-85,37.38,307,WP_304341590.1,Yes,No,,,Bacillota,Peptostreptococcales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Faecalispora sporosphaeroides],268,268,100%,4.00E-85,39.27,302,WP_412370780.1,Yes,No,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Natribacillus halophilus],266,266,100%,3.00E-84,36.27,307,WP_176764566.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Clostridium sp.],265,265,100%,3.00E-84,38.56,306,MGL4730898.1,Yes,Yes,RM type I,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,DUF4868 domain-containing protein [Dialister sp.],264,264,99%,1.00E-83,37.21,301,MBD9032026.1,Yes,No,,,Bacillota,Veillonellales
1 member(s) 1 organism(s),,Kiwa anti-phage protein KwaB-like domain-containing protein [Mediterraneibacter sp. HA8405],264,264,100%,2.00E-83,38.31,310,WP_474543037.1,Yes,No,,,Bacillota,Lachnospirales
2 member(s) 1 organism(s),viruses,MAG TPA: protein of unknown function (DUF4868) [Caudoviricetes sp.],261,261,94%,1.00E-82,39.16,302,DAK86486.1,Yes,N/A ,,DUF722 beside,Uroviricota,Caudovirales
1 member(s) 1 organism(s),firmicutes,MULTISPECIES: Kiwa anti-phage protein KwaB-like domain-containing protein [Bacillus subtilis group],261,261,100%,1.00E-82,34.31,306,WP_256766802.1,Yes,No,,,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,phage protein [Geomicrobium sp. JCM 19039],263,263,99%,2.00E-82,36.27,375,GAK12229.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Bacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [uncultured Granulicatella sp.],261,261,100%,2.00E-82,85.43,309,WP_314852142.1,Yes,Yes,RM type I & PDC-S13 & PDC-S05 & PDC-S32 & PDC-S11 & PDC-S30,,Bacillota,Lactobacillales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Oceanobacillus sp. Castelsardo],261,261,100%,2.00E-82,35.29,307,WP_197482139.1,Yes,No,,,Bacillota,Bacillales
3 member(s) 3 organism(s),bacteria,Kiwa anti-phage protein KwaB-like domain-containing protein [Peptoniphilus rachelemmaiella],260,260,100%,4.00E-82,94.37,302,WP_215506606.1,Yes,Yes,RM type II & VSPR,,Bacillota,Tissierellales
1 member(s) 1 organism(s),firmicutes,Kiwa anti-phage protein KwaB-like domain-containing protein [Lacrimispora indolis],260,260,100%,5.00E-82,40.92,300,WP_024295645.1,N/A,N/A ,,Seems to only have ncKwaB,Bacillota,Lachnospirales
