Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Thiolapillus sp.],243,243,96%,4.00E-74,20.73,580,WP_293688327.1,No,,,,Pseudomonadota,Chromatiales
1 member(s) 1 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Thiolapillus sp.]",216,216,96%,5.00E-67,20.73,282,WP_419650460.1,No,,,,Pseudomonadota,Chromatiales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Zestomonas thermotolerans],208,208,96%,5.00E-65,21.88,192,WP_027896257.1,No,,,,Pseudomonadota,Pseudomonadales
9 member(s) 9 organism(s),proteobacteria,anti-phage protein KwaA [Bordetella hinzii],208,208,96%,6.00E-65,23.83,193,WP_048939834.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [uncultured Paraglaciecola sp.],207,207,96%,2.00E-64,21.24,194,WP_299077295.1,No,,,,Pseudomonadota,Alteromonadales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Serratia ureilytica],206,206,97%,2.00E-64,20.41,199,WP_197795729.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Candidatus Thiodiazotropha sp.],206,206,96%,4.00E-64,21.76,194,MES9971421.1,No,,,,Pseudomonadota,Chromatiales
1 member(s) 1 organism(s),proteobacteria,anti-phage protein KwaA [Pseudomonadota bacterium],206,206,94%,1.00E-63,22.22,234,MFC1542772.1,No,,,,Pseudomonadota,unclassified Pseudomonadota
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Rhodocyclaceae bacterium],204,204,95%,3.00E-63,23.56,193,MBW7900980.1,No,,,,Pseudomonadota,Rhodocyclales
2 member(s) 2 organism(s),g-proteobacteria,hypothetical protein [Candidatus Thiodiazotropha lotti],202,202,96%,7.00E-63,21.76,194,MCG7988392.1,No,,,,Pseudomonadota,Chromatiales
3 member(s) 3 organism(s),g-proteobacteria,anti-phage protein KwaA [Vreelandella aquamarina],201,201,96%,3.00E-62,20.51,194,WP_062363257.1,No,,,,Pseudomonadota,Oceanospirillales
3 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Yersinia enterocolitica],201,201,97%,3.00E-62,22.96,199,WP_050164291.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,MAG: hypothetical protein COC09_02410 [Gammaproteobacteria bacterium],201,201,94%,4.00E-62,22.11,194,PCH64457.1,No,,,,Pseudomonadota,unclassified Gammaproteobacteria
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Nitrosomonas sp.],200,200,94%,9.00E-62,20.53,194,MDP1557630.1,No,,,,Pseudomonadota,Nitrosomonadales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudomonas citronellolis],199,199,96%,2.00E-61,20.21,194,WP_083280332.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Ottowia sp.],199,199,96%,2.00E-61,23.44,192,MBQ6656532.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein SAMN03159405_06106 [Pseudomonas sp. NFACC44-2],200,200,98%,3.00E-61,18.27,229,SCZ47365.1,No,,,,Pseudomonadota,Pseudomonadales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Rhodopirellula europaea],197,197,96%,9.00E-61,19.69,194,WP_008668037.1,No,,,,Planctomycetota,Pirellulales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Cellvibrio sp. ARAG 10.3],197,197,96%,1.00E-60,20.62,196,WP_439176960.1,No,,,,Pseudomonadota,Cellvibrionales
3 member(s) 2 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Klebsiella],198,198,96%,1.00E-60,20.51,229,WP_265767820.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Candidatus Thiodiazotropha endolucinida],196,196,97%,3.00E-60,22.05,195,MEW8061417.1,No,,,,Pseudomonadota,Chromatiales
17 member(s) 14 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [unclassified Pseudoalteromonas],196,196,97%,3.00E-60,22.05,195,WP_008114680.1,No,,,,Pseudomonadota,Alteromonadales
